base_currency_short_name,target_currency_short_name,binance_currency_pair_name,inr_conversion_charge,coindcx_name,target_currency_name,base_currency_name,step,min_quantity,symbol,ecode,max_leverage,max_leverage_short,pair
USDT,LTC,LTCUSDT,,LTCUSDT,Litecoin,Tether,1.00E-05,1.00E-05,LTCUSDT,B,8,2,B-LTC_USDT
BTC,QKC,QKCBTC,,QKCBTC,QuarkChain,Bitcoin,1,1,QKCBTC,B,1,,B-QKC_BTC
USDC,ETH,ETHUSDC,,ETHUSDC,Ethereum,USD Coin,1.00E-05,1.00E-05,ETHUSDC,B,,,B-ETH_USDC
BTC,REP,REPBTC,,REPBTC,Augur,Bitcoin,0.001,0.001,REPBTC,B,1,,B-REP_BTC
USDT,YFI,YFIUSDT,,YFIUSDT,yearn.finance,Tether,1.00E-06,1.00E-06,YFIUSDT,B,4,3,B-YFI_USDT
BTC,RLC,RLCBTC,,RLCBTC,iExec RLC,Bitcoin,1,1,RLCBTC,B,2,,B-RLC_BTC
BNB,ICX,ICXBNB,,ICXBNB,ICON,Binance Coin,0.1,0.1,ICXBNB,B,,,B-ICX_BNB
ETH,AGI,AGIETH,,AGIETH,Singularity NET,Ethereum,1,1,AGIETH,B,5,,B-AGI_ETH
ETH,GVT,GVTETH,,GVTETH,Genesis Vision,Ethereum,0.01,0.01,GVTETH,B,5,,B-GVT_ETH
BNB,RLC,RLCBNB,,RLCBNB,iExec RLC,Binance Coin,0.1,0.1,RLCBNB,B,,,B-RLC_BNB
ETH,ARN,ARNETH,,ARNETH,Aeron,Ethereum,1,1,ARNETH,B,,,B-ARN_ETH
USDT,XTZ,XTZUSDT,,XTZUSDT,Tezos,Tether,0.1,0.1,XTZUSDT,HB,6,,HB-XTZ_USDT
ETH,XTZ,XTZETH,,XTZETH,Tezos,Ethereum,0.1,0.1,XTZETH,HB,,,HB-XTZ_ETH
ETH,RDN,RDNETH,,RDNETH,Raiden Network Token,Ethereum,1,1,RDNETH,B,5,,B-RDN_ETH
USDT,DAI,DAIUSDT,,DAIUSDT,Dai,Tether,0.01,0.01,DAIUSDT,B,,,B-DAI_USDT
BNB,VIA,VIABNB,,VIABNB,Viacoin,Binance Coin,0.1,0.1,VIABNB,B,,,B-VIA_BNB
BTC,ENG,ENGBTC,,ENGBTC,Enigma,Bitcoin,1,1,ENGBTC,B,3,,B-ENG_BTC
BTC,TNT,TNTBTC,,TNTBTC,Tierion,Bitcoin,1,1,TNTBTC,H,,,H-TNT_BTC
BNB,TRB,TRBBNB,,TRBBNB,Tellor,Binance Coin,0.001,0.001,TRBBNB,B,,,B-TRB_BNB
BNB,CMT,CMTBNB,,CMTBNB,CyberMiles,Binance Coin,1,1,CMTBNB,B,,,B-CMT_BNB
INR,EOS,EOSINR,,EOSINR,EOS,Indian Rupee,0.01,0.01,EOSINR,B,,,B-EOS_INR
BTC,SUB,SUBBTC,,SUBBTC,Substratum,Bitcoin,1,1,SUBBTC,B,4,,B-SUB_BTC
USDT,MKR,MKRUSDT,,MKRUSDT,Maker,Tether,0.0001,0.0001,MKRUSDT,HB,,,HB-MKR_USDT
TUSD,ETC,ETCTUSD,,ETCTUSD,Ethereum Classic,True USD,0.001,0.001,ETCTUSD,B,,,B-ETC_TUSD
BTC,DOGE,DOGEBTC,,DOGEBTC,Doge,Bitcoin,1000,1000,DOGEBTC,HB,,,HB-DOGE_BTC
USDT,XRPBULL,XRPBULLUSDT,,XRPBULLUSDT,3x Long XRP Token,Tether,1.00E-05,1.00E-05,XRPBULLUSDT,B,2,,B-XRPBULL_USDT
BNB,NAS,NASBNB,,NASBNB,Nebulas,Binance Coin,0.1,0.1,NASBNB,B,,,B-NAS_BNB
BTC,BCHSV,BSVBTC,,BSVBTC,Bitcoin Cash SV,Bitcoin,0.001,0.001,BSVBTC,HB,,,HB-BCHSV_BTC
USDC,TFUEL,TFUELUSDC,,TFUELUSDC,Theta Fuel,USD Coin,1,1,TFUELUSDC,B,4,,B-TFUEL_USDC
BNB,MDT,MDTBNB,,MDTBNB,Measurable Data Token,Binance Coin,1,1,MDTBNB,B,1,,B-MDT_BNB
ETH,STORM,STORMETH,,STORMETH,Storm,Ethereum,1,1,STORMETH,B,5,,B-STORM_ETH
BTC,PAY,PAYBTC,,PAYBTC,TenX,Bitcoin,0.01,1,PAYBTC,H,,,H-PAY_BTC
ETH,GNT,GNTETH,,GNTETH,Golem,Ethereum,1,1,GNTETH,B,1,,B-GNT_ETH
BNB,STORM,STORMBNB,,STORMBNB,Storm,Binance Coin,1,1,STORMBNB,B,,,B-STORM_BNB
USDT,STRAT,STRATUSDT,,STRATUSDT,Stratis,Tether,0.01,0.01,STRATUSDT,B,4,,B-STRAT_USDT
BNB,GTO,GTOBNB,,GTOBNB,Gifto,Binance Coin,1,1,GTOBNB,B,,,B-GTO_BNB
BNB,ZRX,ZRXBNB,,ZRXBNB,0x,Binance Coin,0.1,0.1,ZRXBNB,B,,,B-ZRX_BNB
ETH,WTC,WTCETH,,WTCETH,Walton Chain,Ethereum,0.01,0.01,WTCETH,B,1,,B-WTC_ETH
BTC,WIKI,WIKIBTC,,WIKIBTC,WIKI Token,Bitcoin,1,1,WIKIBTC,HB,,,HB-WIKI_BTC
INR,BCH,BCHINR,,BCHINR,Bitcoin Cash,Indian Rupee,0.0001,0.0001,BCHINR,I,,,I-BCH_INR
INR,EOS,EOSINR,,EOSINR,EOS,Indian Rupee,0.0001,0.0001,EOSINR,I,,,I-EOS_INR
USDT,UFT,,,UFTUSDT,UniLend Finance Token,Tether,1,0,UFTUSDT,I,,,I-UFT_USDT
INR,CHR,,,CHRINR,Chromia,Indian Rupee,1,0,CHRINR,I,,,I-CHR_INR
ETH,AE,AEETH,,AEETH,Aeternity,Ethereum,0.0001,0.01,AEETH,H,,,H-AE_ETH
BTC,OCN,OCNBTC,,OCNBTC,Odyssey,Bitcoin,0.01,1,OCNBTC,H,,,H-OCN_BTC
INR,BNB,BNBINR,,BNBINR,Binance Coin,Indian Rupee,0.01,0.1,BNBINR,I,,,I-BNB_INR
BTC,LOC,LOCBTC,,LOCBTC,LockTrip,Bitcoin,10,10,LOCBTC,HB,,,HB-LOC_BTC
ETH,COMP,COMPETH,,COMPETH,Compound,Ethereum,0.01,0.01,COMPETH,H,,,H-COMP_ETH
INR,ONE,,,ONEINR,Harmony,Indian Rupee,1,0.1,ONEINR,I,,,I-ONE_INR
INR,LINK,LINKINR,,LINKINR,Chainlink,Indian Rupee,0.01,0.01,LINKINR,I,,,I-LINK_INR
ETH,ALGO,ALGOETH,,ALGOETH,Algorand,Ethereum,0.0001,0.01,ALGOETH,H,,,H-ALGO_ETH
ETH,SUSHI,SUSHIETH,,SUSHIETH,Sushi,Ethereum,0.0001,0.001,SUSHIETH,H,,,H-SUSHI_ETH
USDT,FOR,FORUSDT,,FORUSDT,The Force Protocol,Tether,0.01,1,FORUSDT,H,,,H-FOR_USDT
BTC,SWM,SWMBTC,,SWMBTC,Swarm Fund Token,Bitcoin,10,10,SWMBTC,HB,,,HB-SWM_BTC
ETH,YFII,YFIIETH,,YFIIETH,DFI.Money,Ethereum,0.0001,0.0001,YFIIETH,H,,,H-YFII_ETH
INR,USDT,USDTINR,,USDTINR,Tether,Indian Rupee,0.01,0.01,USDTINR,I,,,I-USDT_INR
BTC,HT,HTBTC,,HTBTC,Huobi Token,Bitcoin,0.01,1,HTBTC,H,,,H-HT_BTC
ETH,MTA,MTAETH,,MTAETH,Meta,Ethereum,0.0001,0.01,MTAETH,H,,,H-MTA_ETH
USDT,ACT,ACTUSDT,,ACTUSDT,Achain,Tether,0.01,0.1,ACTUSDT,H,,,H-ACT_USDT
BTC,LUNA,LUNABTC,,LUNABTC,Terra,Bitcoin,0.01,0.1,LUNABTC,H,,,H-LUNA_BTC
USDT,MTA,MTAUSDT,,MTAUSDT,Meta,Tether,0.0001,0.01,MTAUSDT,H,,,H-MTA_USDT
BTC,MTN,MTNBTC,,MTNBTC,MedicalChain,Bitcoin,0.01,1,MTNBTC,H,,,H-MTN_BTC
ETH,HC,HCETH,,HCETH,HyperCash,Ethereum,0.0001,0.01,HCETH,H,,,H-HC_ETH
USDT,HC,HCUSDT,,HCUSDT,HyperCash,Tether,0.0001,0.01,HCUSDT,H,,,H-HC_USDT
BTC,IIC,IICBTC,,IICBTC,Intelligent Investment Chain,Bitcoin,0.01,0.01,IICBTC,H,,,H-IIC_BTC
BTC,FSN,FSNBTC,,FSNBTC,Fusion,Bitcoin,0.01,0.01,FSNBTC,H,,,H-FSN_BTC
USDT,BTS,BTSUSDT,,BTSUSDT,Bitshares,Tether,0.1,0.1,BTSUSDT,B,,,B-BTS_USDT
BNB,SAND,SANDBNB,,SANDBNB,The Sandbox,Binance Coin,1,1,SANDBNB,B,,,B-SAND_BNB
USDT,MITH,MITHUSDT,,MITHUSDT,Mithril,Tether,0.1,0.1,MITHUSDT,B,1,,B-MITH_USDT
ETH,WAN,WANETH,,WANETH,Wanchain,Ethereum,0.01,0.01,WANETH,B,1,,B-WAN_ETH
XRP,TRX,TRXXRP,,TRXXRP,Tron,Ripple,0.1,0.1,TRXXRP,B,1,2,B-TRX_XRP
BNB,AVAX,AVAXBNB,,AVAXBNB,Avalanche,Binance Coin,0.1,0.1,AVAXBNB,B,,,B-AVAX_BNB
BTC,GAS,GASBTC,,GASBTC,NeoGas,Bitcoin,0.01,0.01,GASBTC,B,1,,B-GAS_BTC
TUSD,TRX,TRXTUSD,,TRXTUSD,Tron,True USD,0.1,0.1,TRXTUSD,B,,,B-TRX_TUSD
USDT,SXP,SXPUSDT,,SXPUSDT,Swipe,Tether,0.001,0.001,SXPUSDT,B,5,3,B-SXP_USDT
ETH,ZEC,ZECETH,,ZECETH,ZCash,Ethereum,0.001,0.001,ZECETH,B,1,,B-ZEC_ETH
BTC,BNT,BNTBTC,,BNTBTC,Bancor,Bitcoin,1,1,BNTBTC,B,4,,B-BNT_BTC
USDT,AION,AIONUSDT,,AIONUSDT,AION,Tether,0.01,0.01,AIONUSDT,B,2,,B-AION_USDT
ETH,IOTX,IOTXETH,,IOTXETH,IoTeX,Ethereum,1,1,IOTXETH,B,1,,B-IOTX_ETH
TUSD,LINK,LINKTUSD,,LINKTUSD,Chainlink,True USD,0.01,0.01,LINKTUSD,B,,,B-LINK_TUSD
BTC,ANT,ANTBTC,,ANTBTC,Aragon,Bitcoin,0.01,0.01,ANTBTC,B,,,B-ANT_BTC
BNB,ETC,ETCBNB,,ETCBNB,Ethereum Classic,Binance Coin,0.01,0.01,ETCBNB,B,,,B-ETC_BNB
BNB,CRV,CRVBNB,,CRVBNB,Curve,Binance Coin,0.01,0.01,CRVBNB,B,,,B-CRV_BNB
ETH,CMT,CMTETH,,CMTETH,CyberMiles,Ethereum,1,1,CMTETH,B,1,,B-CMT_ETH
USDT,XTZ,XTZUSDT,,XTZUSDT,Tezos,Tether,0.01,0.01,XTZUSDT,B,4,3,B-XTZ_USDT
BTC,XVG,XVGBTC,,XVGBTC,Verge,Bitcoin,1,1,XVGBTC,B,2,,B-XVG_BTC
BTC,QSP,QSPBTC,,QSPBTC,Quantstamp,Bitcoin,1,1,QSPBTC,B,1,,B-QSP_BTC
BTC,MITH,MITHBTC,,MITHBTC,Mithril,Bitcoin,1,1,MITHBTC,B,1,,B-MITH_BTC
BNB,ADA,ADABNB,,ADABNB,Cardano,Binance Coin,1,1,ADABNB,B,,,B-ADA_BNB
BNB,VET,VETBNB,,VETBNB,VeChain,Binance Coin,1,1,VETBNB,B,,,B-VET_BNB
BNB,RVN,RVNBNB,,RVNBNB,Ravencoin,Binance Coin,1,1,RVNBNB,B,,,B-RVN_BNB
ETH,STMX,STMXETH,,STMXETH,StormX,Ethereum,1,1,STMXETH,B,1,,B-STMX_ETH
USDT,GXC,GXCUSDT,,GXCUSDT,GXChain,Tether,0.0001,0.0001,GXCUSDT,H,,,H-GXC_USDT
ETH,ETN,ETNETH,,ETNETH,Electroneum,Ethereum,0.0001,0.0001,ETNETH,H,,,H-ETN_ETH
INR,CRO,CROINR,,CROINR,Crypto.com Coin,Indian Rupee,1,10,CROINR,I,,,I-CRO_INR
BTC,GXC,GXCBTC,,GXCBTC,GXChain,Bitcoin,0.01,0.01,GXCBTC,H,,,H-GXC_BTC
USDT,HT,HTUSDT,,HTUSDT,Huobi Token,Tether,0.01,0.01,HTUSDT,H,,,H-HT_USDT
BTC,HC,HCBTC,,HCBTC,HyperCash,Bitcoin,0.0001,0.01,HCBTC,H,,,H-HC_BTC
BTC,BCN,BCNBTC,,BCNBTC,Bytecoin,Bitcoin,100,100,BCNBTC,HB,,,HB-BCN_BTC
USDT,LUNA,LUNAUSDT,,LUNAUSDT,Terra,Tether,0.01,0.1,LUNAUSDT,H,,,H-LUNA_USDT
BTC,BANCA,BANCABTC,,BANCABTC,BANCA,Bitcoin,1000,1000,BANCABTC,HB,,,HB-BANCA_BTC
DAI,ETH,ETHDAI,,ETHDAI,Ethereum,Dai,1.00E-05,1.00E-05,ETHDAI,B,,,B-ETH_DAI
USDT,DREP,DREPUSDT,,DREPUSDT,DREP,Tether,1,1,DREPUSDT,B,1,3,B-DREP_USDT
ETH,ZRX,ZRXETH,,ZRXETH,0x,Ethereum,1,1,ZRXETH,B,1,2,B-ZRX_ETH
BTC,STRAX,STRAXBTC,,STRAXBTC,STRAX Token,Bitcoin,0.1,0.1,STRAXBTC,B,,,B-STRAX_BTC
USDT,SRM,SRMUSDT,,SRMUSDT,Serum,Tether,0.01,0.01,SRMUSDT,B,5,,B-SRM_USDT
USDT,PAX,PAXUSDT,,PAXUSDT,Paxos,Tether,0.01,0.01,PAXUSDT,B,4,,B-PAX_USDT
USDT,WAVES,WAVESUSDT,,WAVESUSDT,Waves,Tether,0.01,0.01,WAVESUSDT,B,5,2,B-WAVES_USDT
BNB,ONT,ONTBNB,,ONTBNB,Ontology,Binance Coin,0.1,0.1,ONTBNB,B,,,B-ONT_BNB
BTC,QTUM,QTUMBTC,,QTUMBTC,Qtum,Bitcoin,0.01,0.01,QTUMBTC,B,2,2,B-QTUM_BTC
BTC,DCR,DCRBTC,,DCRBTC,Decred,Bitcoin,0.001,0.001,DCRBTC,B,2,,B-DCR_BTC
USDT,JST,JSTUSDT,,JSTUSDT,JUST,Tether,0.1,0.1,JSTUSDT,B,2,,B-JST_USDT
USDT,SUN,SUNUSDT,,SUNUSDT,SUN,Tether,0.001,0.001,SUNUSDT,B,,,B-SUN_USDT
BNB,UNI,UNIBNB,,UNIBNB,Uniswap,Binance Coin,0.1,0.1,UNIBNB,B,,,B-UNI_BNB
BNB,ALPHA,ALPHABNB,,ALPHABNB,Alpha Finance Lab,Binance Coin,1,1,ALPHABNB,B,,,B-ALPHA_BNB
BTC,FET,FETBTC,,FETBTC,Fetch.AI,Bitcoin,1,1,FETBTC,B,2,,B-FET_BTC
USDT,TUSD,TUSDUSDT,,TUSDUSDT,True USD,Tether,0.01,0.01,TUSDUSDT,B,4,,B-TUSD_USDT
BNB,MATIC,MATICBNB,,MATICBNB,Matic Network,Binance Coin,1,1,MATICBNB,B,,,B-MATIC_BNB
TUSD,BTC,BTCTUSD,,BTCTUSD,Bitcoin,True USD,1.00E-06,1.00E-06,BTCTUSD,B,,,B-BTC_TUSD
USDT,ZIL,ZILUSDT,,ZILUSDT,Zilliqa,Tether,0.1,0.1,ZILUSDT,B,4,,B-ZIL_USDT
BTC,CDT,CDTBTC,,CDTBTC,CoinDash,Bitcoin,1,1,CDTBTC,B,1,,B-CDT_BTC
BTC,AAVE,AAVEBTC,,AAVEBTC,Aave,Bitcoin,0.01,0.01,AAVEBTC,B,2,2,B-AAVE_BTC
BTC,BLZ,BLZBTC,,BLZBTC,Bluzelle,Bitcoin,1,1,BLZBTC,B,2,,B-BLZ_BTC
ETH,NAS,NASETH,,NASETH,Nebulas,Ethereum,0.01,0.01,NASETH,B,1,,B-NAS_ETH
DAI,BNB,BNBDAI,,BNBDAI,Binance Coin,Dai,0.001,0.001,BNBDAI,B,,,B-BNB_DAI
ETH,EASY,EASYETH,,EASYETH,EasyFi,Ethereum,0.01,0.01,EASYETH,B,,,B-EASY_ETH
BTC,JST,JSTBTC,,JSTBTC,JUST,Bitcoin,1,1,JSTBTC,B,,,B-JST_BTC
BTC,ADX,ADXBTC,,ADXBTC,AdEx,Bitcoin,1,1,ADXBTC,B,2,,B-ADX_BTC
BNB,FTM,FTMBNB,,FTMBNB,Fantom,Binance Coin,1,1,FTMBNB,B,,,B-FTM_BNB
ETH,ICX,ICXETH,,ICXETH,ICON,Ethereum,0.01,0.01,ICXETH,B,1,,B-ICX_ETH
BNB,BTT,BTTBNB,,BTTBNB,BitTorrent,Binance Coin,1,1,BTTBNB,B,,,B-BTT_BNB
USDC,EOS,EOSUSDC,,EOSUSDC,EOS,USD Coin,0.01,0.01,EOSUSDC,B,,,B-EOS_USDC
BTC,MANA,MANABTC,,MANABTC,Decentraland,Bitcoin,1,1,MANABTC,B,2,,B-MANA_BTC
USDT,BAL,BALUSDT,,BALUSDT,Balancer,Tether,0.001,0.001,BALUSDT,B,2,,B-BAL_USDT
BTC,NANO,NANOBTC,,NANOBTC,Nano,Bitcoin,0.01,0.01,NANOBTC,B,2,,B-NANO_BTC
USDT,XLM,XLMUSDT,,XLMUSDT,Stellar Lumens,Tether,0.1,0.1,XLMUSDT,B,8,2,B-XLM_USDT
USDT,ZRX,ZRXUSDT,,ZRXUSDT,0x,Tether,0.01,0.01,ZRXUSDT,B,4,2,B-ZRX_USDT
BTC,AERGO,AERGOBTC,,AERGOBTC,Aergo,Bitcoin,1,1,AERGOBTC,B,,,B-AERGO_BTC
ETH,MANA,MANAETH,,MANAETH,Decentraland,Ethereum,1,1,MANAETH,B,1,,B-MANA_ETH
BTC,FIO,FIOBTC,,FIOBTC,FIO Protocol,Bitcoin,1,1,FIOBTC,B,1,,B-FIO_BTC
USDT,CHZ,CHZUSDT,,CHZUSDT,Chiliz,Tether,1,1,CHZUSDT,B,4,,B-CHZ_USDT
USDT,MDT,MDTUSDT,,MDTUSDT,Measurable Data Token,Tether,0.1,0.1,MDTUSDT,B,1,,B-MDT_USDT
BTC,WNXM,WNXMBTC,,WNXMBTC,Wrapped NXM,Bitcoin,0.001,0.001,WNXMBTC,B,2,,B-WNXM_BTC
BNB,CAKE,CAKEBNB,,CAKEBNB,PancakeSwap,Binance Coin,0.1,0.1,CAKEBNB,B,,,B-CAKE_BNB
USDT,DATA,DATAUSDT,,DATAUSDT,Streamr DATAcoin,Tether,0.1,0.1,DATAUSDT,B,1,,B-DATA_USDT
BNB,WAVES,WAVESBNB,,WAVESBNB,Waves,Binance Coin,0.1,0.1,WAVESBNB,B,,,B-WAVES_BNB
ETH,QLC,QLCETH,,QLCETH,QLink,Ethereum,1,1,QLCETH,B,1,,B-QLC_ETH
ETH,TRX,TRXETH,,TRXETH,Tron,Ethereum,1,1,TRXETH,B,4,2,B-TRX_ETH
USDT,LRC,LRCUSDT,,LRCUSDT,Loopring,Tether,0.1,0.1,LRCUSDT,B,3,,B-LRC_USDT
ETH,DEXE,DEXEETH,,DEXEETH,DeXe,Ethereum,0.01,0.01,DEXEETH,B,,,B-DEXE_ETH
BTC,LOOM,LOOMBTC,,LOOMBTC,Loom Network,Bitcoin,1,1,LOOMBTC,B,2,,B-LOOM_BTC
BTC,ONT,ONTBTC,,ONTBTC,Ontology,Bitcoin,0.01,0.01,ONTBTC,B,2,,B-ONT_BTC
USDT,WTC,WTCUSDT,,WTCUSDT,Walton Chain,Tether,0.01,0.01,WTCUSDT,B,1,,B-WTC_USDT
BTC,DUSK,DUSKBTC,,DUSKBTC,Dusk Network,Bitcoin,1,1,DUSKBTC,B,2,,B-DUSK_BTC
BTC,SCRT,SCRTBTC,,SCRTBTC,Secret Network,Bitcoin,1,1,SCRTBTC,B,,,B-SCRT_BTC
USDT,TROY,TROYUSDT,,TROYUSDT,Troy Token,Tether,1,1,TROYUSDT,B,1,,B-TROY_USDT
USDT,BEL,BELUSDT,,BELUSDT,Bella Protocol,Tether,0.01,0.01,BELUSDT,B,3,,B-BEL_USDT
USDT,NEO,NEOUSDT,,NEOUSDT,NEO,Tether,0.001,0.001,NEOUSDT,B,6,,B-NEO_USDT
BTC,SYS,SYSBTC,,SYSBTC,Syscoin,Bitcoin,1,1,SYSBTC,B,2,,B-SYS_BTC
TUSD,ETH,ETHTUSD,,ETHTUSD,Ethereum,True USD,1.00E-05,1.00E-05,ETHTUSD,B,,,B-ETH_TUSD
USDT,ATOM,ATOMUSDT,,ATOMUSDT,Cosmos,Tether,0.001,0.001,ATOMUSDT,B,6,2,B-ATOM_USDT
BTC,ZEC,ZECBTC,,ZECBTC,ZCash,Bitcoin,0.001,0.001,ZECBTC,B,4,2,B-ZEC_BTC
BTC,DLT,DLTBTC,,DLTBTC,Delta,Bitcoin,1,1,DLTBTC,B,1,,B-DLT_BTC
BTC,ARPA,ARPABTC,,ARPABTC,ARPA,Bitcoin,1,1,ARPABTC,B,2,,B-ARPA_BTC
USDT,ADA,ADAUSDT,,ADAUSDT,Cardano,Tether,0.1,0.1,ADAUSDT,B,6,3,B-ADA_USDT
ETH,LINK,LINKETH,,LINKETH,Chainlink,Ethereum,0.01,0.01,LINKETH,B,2,,B-LINK_ETH
TUSD,BTT,BTTTUSD,,BTTTUSD,BitTorrent,True USD,1,1,BTTTUSD,B,,,B-BTT_TUSD
BTC,CKB,CKBBTC,,CKBBTC,Nervos,Bitcoin,1,1,CKBBTC,B,,,B-CKB_BTC
BTC,LRC,LRCBTC,,LRCBTC,Loopring,Bitcoin,1,1,LRCBTC,B,2,,B-LRC_BTC
USDT,LSK,LSKUSDT,,LSKUSDT,Lisk Coin,Tether,0.01,0.01,LSKUSDT,B,1,2,B-LSK_USDT
USDT,CRV,CRVUSDT,,CRVUSDT,Curve,Tether,0.001,0.001,CRVUSDT,B,3,2,B-CRV_USDT
BNB,MBL,MBLBNB,,MBLBNB,MovieBloc,Binance Coin,1,1,MBLBNB,B,1,,B-MBL_BNB
BNB,FIO,FIOBNB,,FIOBNB,FIO Protocol,Binance Coin,0.1,0.1,FIOBNB,B,,,B-FIO_BNB
USDT,PERL,PERLUSDT,,PERLUSDT,Perlin,Tether,0.1,0.1,PERLUSDT,B,2,2,B-PERL_USDT
ETH,THETA,THETAETH,,THETAETH,Theta Token,Ethereum,1,1,THETAETH,B,1,,B-THETA_ETH
BTC,ONE,ONEBTC,,ONEBTC,Harmony,Bitcoin,1,1,ONEBTC,B,2,2,B-ONE_BTC
ETH,WAVES,WAVESETH,,WAVESETH,Waves,Ethereum,0.01,0.01,WAVESETH,B,1,,B-WAVES_ETH
ETH,BNB,BNBETH,,BNBETH,Binance Coin,Ethereum,0.01,0.01,BNBETH,B,4,4,B-BNB_ETH
BNB,SPARTA,SPARTABNB,,SPARTABNB,Spartan Protocol,Binance Coin,1,1,SPARTABNB,B,,,B-SPARTA_BNB
ETH,CVC,CVCETH,,CVCETH,Civic,Ethereum,1,1,CVCETH,B,1,,B-CVC_ETH
BTC,TRX,TRXBTC,,TRXBTC,Tron,Bitcoin,1,1,TRXBTC,B,6,2,B-TRX_BTC
USDT,HBAR,HBARUSDT,,HBARUSDT,Hedera Hashgraph,Tether,0.1,0.1,HBARUSDT,B,2,,B-HBAR_USDT
USDT,NANO,NANOUSDT,,NANOUSDT,Nano,Tether,0.01,0.01,NANOUSDT,B,2,,B-NANO_USDT
BTC,FIL,FILBTC,,FILBTC,Filecoin,Bitcoin,0.01,0.01,FILBTC,B,,,B-FIL_BTC
BNB,ZEC,ZECBNB,,ZECBNB,ZCash,Binance Coin,0.001,0.001,ZECBNB,B,,,B-ZEC_BNB
BTC,COS,COSBTC,,COSBTC,Contentos,Bitcoin,1,1,COSBTC,B,1,,B-COS_BTC
BNB,TRX,TRXBNB,,TRXBNB,Tron,Binance Coin,1,1,TRXBNB,B,,,B-TRX_BNB
ETH,MFT,MFTETH,,MFTETH,Mainframe,Ethereum,1,1,MFTETH,B,1,,B-MFT_ETH
USDT,WIN,WINUSDT,,WINUSDT,WINK,Tether,1,1,WINUSDT,B,2,,B-WIN_USDT
BTC,WAVES,WAVESBTC,,WAVESBTC,Waves,Bitcoin,0.01,0.01,WAVESBTC,B,4,2,B-WAVES_BTC
BTC,REN,RENBTC,,RENBTC,Republic Protocol,Bitcoin,1,1,RENBTC,B,4,2,B-REN_BTC
BTC,ARK,ARKBTC,,ARKBTC,Ark,Bitcoin,1,1,ARKBTC,B,1,,B-ARK_BTC
ETH,BQX,BQXETH,,BQXETH,Voyager,Ethereum,1,1,BQXETH,B,1,,B-BQX_ETH
BNB,DOT,DOTBNB,,DOTBNB,Polkadot,Binance Coin,0.1,0.1,DOTBNB,B,,,B-DOT_BNB
BTC,REQ,REQBTC,,REQBTC,Request,Bitcoin,1,1,REQBTC,B,1,,B-REQ_BTC
USDT,FUN,FUNUSDT,,FUNUSDT,FunFair,Tether,1,1,FUNUSDT,B,1,,B-FUN_USDT
BTC,LTC,LTCBTC,,LTCBTC,Litecoin,Bitcoin,0.01,0.01,LTCBTC,B,6,2,B-LTC_BTC
USDT,BLZ,BLZUSDT,,BLZUSDT,Bluzelle,Tether,0.1,0.1,BLZUSDT,B,,,B-BLZ_USDT
BTC,SC,SCBTC,,SCBTC,Siacoin,Bitcoin,1,1,SCBTC,B,1,,B-SC_BTC
BNB,IQ,IQBNB,,IQBNB,Everipedia,Binance Coin,1,1,IQBNB,B,,,B-IQ_BNB
USDT,BNT,BNTUSDT,,BNTUSDT,Bancor,Tether,0.01,0.01,BNTUSDT,B,,,B-BNT_USDT
BTC,VIA,VIABTC,,VIABTC,Viacoin,Bitcoin,1,1,VIABTC,B,1,,B-VIA_BTC
USDT,TOMO,TOMOUSDT,,TOMOUSDT,TomoChain,Tether,0.01,0.01,TOMOUSDT,B,4,2,B-TOMO_USDT
BTC,BZRX,BZRXBTC,,BZRXBTC,bZx Protocol,Bitcoin,1,1,BZRXBTC,B,2,,B-BZRX_BTC
USDT,STRAX,STRAXUSDT,,STRAXUSDT,STRAX Token,Tether,0.01,0.01,STRAXUSDT,B,,,B-STRAX_USDT
BTC,MKR,MKRBTC,,MKRBTC,Maker,Bitcoin,0.001,0.001,MKRBTC,B,,,B-MKR_BTC
USDT,AVAX,AVAXUSDT,,AVAXUSDT,Avalanche,Tether,0.01,0.01,AVAXUSDT,B,,,B-AVAX_USDT
BNB,WABI,WABIBNB,,WABIBNB,WaBi,Binance Coin,1,1,WABIBNB,B,,,B-WABI_BNB
USDT,COMP,COMPUSDT,,COMPUSDT,Compound,Tether,1.00E-05,1.00E-05,COMPUSDT,B,4,2,B-COMP_USDT
DAI,BTC,BTCDAI,,BTCDAI,Bitcoin,Dai,1.00E-06,1.00E-06,BTCDAI,B,,,B-BTC_DAI
USDT,BEAM,BEAMUSDT,,BEAMUSDT,BEAM,Tether,0.01,0.01,BEAMUSDT,B,1,,B-BEAM_USDT
ETH,HOT,HOTETH,,HOTETH,Holo,Ethereum,1,1,HOTETH,B,1,,B-HOT_ETH
ETH,ONT,ONTETH,,ONTETH,Ontology,Ethereum,0.01,0.01,ONTETH,B,1,,B-ONT_ETH
BNB,YFI,YFIBNB,,YFIBNB,yearn.finance,Binance Coin,0.0001,0.0001,YFIBNB,B,,,B-YFI_BNB
BTC,DNT,DNTBTC,2,DNTBTC,district0x,Bitcoin,1,1,DNTBTC,B,2,,B-DNT_BTC
BTC,MDA,MDABTC,,MDABTC,Moeda Loyalty Points,Bitcoin,1,1,MDABTC,B,1,,B-MDA_BTC
ETH,DATA,DATAETH,,DATAETH,Streamr DATAcoin,Ethereum,1,1,DATAETH,B,1,,B-DATA_ETH
